TRANS_DATE,STORE_ID,SKU,PRODUCT_DESC,UNITS_SOLD,UNIT_PRICE,NET_SALES,PROMO_IND
2015-12-28,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,35,1.68,58.8,0
2015-12-28,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,62,1.68,104.16,0
2015-12-29,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,28,1.68,47.04,0
2015-12-29,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,60,1.68,100.8,0
2015-12-30,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,34,1.68,57.12,0
2015-12-30,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,77,1.68,129.36,0
2015-12-31,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,36,1.68,60.48,0
2015-12-31,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,91,1.68,152.88,0
2016-01-01,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,25,1.68,42.0,0
2016-01-01,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,97,1.68,162.96,0
2016-01-02,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,48,1.68,80.64,0
2016-01-02,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,80,1.68,134.4,0
2016-01-03,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,29,1.68,48.72,0
2016-01-03,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,84,1.68,141.12,0
