TRANS_DATE,STORE_ID,SKU,PRODUCT_DESC,UNITS_SOLD,UNIT_PRICE,NET_SALES,PROMO_IND
2015-12-14,CA_1,FOODS_3_252,Sparkling Water 12-Pack,39,1.58,61.62,0
2015-12-14,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,33,1.68,55.44,0
2015-12-14,CA_1,HOBBIES_1_048,Craft Paint Set,5,0.48,2.4,0
2015-12-14,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,36,0.48,17.28,0
2015-12-14,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,15,0.97,14.55,0
2015-12-14,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,12,0.97,11.64,0
2015-12-14,TX_2,FOODS_3_252,Sparkling Water 12-Pack,51,1.58,80.58,0
2015-12-14,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,77,1.68,129.36,0
2015-12-14,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,24,0.96,23.04,0
2015-12-14,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,18,0.96,17.28,0
2015-12-15,CA_1,FOODS_3_252,Sparkling Water 12-Pack,31,1.58,48.98,0
2015-12-15,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,38,1.68,63.84,0
2015-12-15,CA_1,HOBBIES_1_048,Craft Paint Set,11,0.48,5.28,0
2015-12-15,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,22,0.48,10.56,0
2015-12-15,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,8,0.97,7.76,0
2015-12-15,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,10,0.97,9.7,0
2015-12-15,TX_2,FOODS_3_252,Sparkling Water 12-Pack,59,1.58,93.22,0
2015-12-15,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,113,1.68,189.84,0
2015-12-15,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,22,0.96,21.12,0
2015-12-15,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,24,0.96,23.04,0
2015-12-16,CA_1,FOODS_3_252,Sparkling Water 12-Pack,36,1.58,56.88,0
2015-12-16,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,30,1.68,50.4,0
2015-12-16,CA_1,HOBBIES_1_048,Craft Paint Set,7,0.48,3.36,0
2015-12-16,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,1,0.48,0.48,0
2015-12-16,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,8,0.97,7.76,0
2015-12-16,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,7,0.97,6.79,0
2015-12-16,TX_2,FOODS_3_252,Sparkling Water 12-Pack,48,1.58,75.84,0
2015-12-16,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,86,1.68,144.48,0
2015-12-16,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,18,0.96,17.28,0
2015-12-16,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,22,0.96,21.12,0
2015-12-17,CA_1,FOODS_3_252,Sparkling Water 12-Pack,25,1.58,39.5,0
2015-12-17,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,49,1.68,82.32,0
2015-12-17,CA_1,HOBBIES_1_048,Craft Paint Set,12,0.48,5.76,0
2015-12-17,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,3,0.48,1.44,0
2015-12-17,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,7,0.97,6.79,0
2015-12-17,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,12,0.97,11.64,0
2015-12-17,TX_2,FOODS_3_252,Sparkling Water 12-Pack,65,1.58,102.7,0
2015-12-17,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,102,1.68,171.36,0
2015-12-17,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,11,0.96,10.56,0
2015-12-17,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,23,0.96,22.08,0
2015-12-18,CA_1,FOODS_3_252,Sparkling Water 12-Pack,53,1.58,83.74,0
2015-12-18,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,35,1.68,58.8,0
2015-12-18,CA_1,HOBBIES_1_048,Craft Paint Set,18,0.48,8.64,0
2015-12-18,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,2,0.48,0.96,0
2015-12-18,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,12,0.97,11.64,0
2015-12-18,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,13,0.97,12.61,0
2015-12-18,TX_2,FOODS_3_252,Sparkling Water 12-Pack,53,1.58,83.74,0
2015-12-18,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,124,1.68,208.32,0
2015-12-18,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,16,0.96,15.36,0
2015-12-18,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,33,0.96,31.68,0
2015-12-19,CA_1,FOODS_3_252,Sparkling Water 12-Pack,69,1.58,109.02,0
2015-12-19,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,61,1.68,102.48,0
2015-12-19,CA_1,HOBBIES_1_048,Craft Paint Set,17,0.48,8.16,0
2015-12-19,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,13,0.48,6.24,0
2015-12-19,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,22,0.97,21.34,0
2015-12-19,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,12,0.97,11.64,0
2015-12-19,TX_2,FOODS_3_252,Sparkling Water 12-Pack,102,1.58,161.16,0
2015-12-19,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,126,1.68,211.68,0
2015-12-19,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,18,0.96,17.28,0
2015-12-19,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,30,0.96,28.8,0
2015-12-20,CA_1,FOODS_3_252,Sparkling Water 12-Pack,54,1.58,85.32,0
2015-12-20,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,54,1.68,90.72,0
2015-12-20,CA_1,HOBBIES_1_048,Craft Paint Set,6,0.48,2.88,0
2015-12-20,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,35,0.48,16.8,0
2015-12-20,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,11,0.97,10.67,0
2015-12-20,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,14,0.97,13.58,0
2015-12-20,TX_2,FOODS_3_252,Sparkling Water 12-Pack,73,1.58,115.34,0
2015-12-20,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,154,1.68,258.72,0
2015-12-20,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,19,0.96,18.24,0
2015-12-20,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,20,0.96,19.2,0
