TRANS_DATE,STORE_ID,SKU,PRODUCT_DESC,UNITS_SOLD,UNIT_PRICE,NET_SALES,PROMO_IND
2015-11-02,CA_1,FOODS_3_252,Sparkling Water 12-Pack,21,1.58,33.18,0
2015-11-02,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,20,1.68,33.6,0
2015-11-02,CA_1,HOBBIES_1_048,Craft Paint Set,2,0.48,0.96,0
2015-11-02,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,12,0.36,4.32,1
2015-11-02,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,13,0.97,12.61,0
2015-11-02,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,9,0.97,8.73,0
2015-11-02,TX_2,FOODS_3_252,Sparkling Water 12-Pack,51,1.26,64.26,1
2015-11-02,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,73,1.68,122.64,0
2015-11-02,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,19,0.96,18.24,0
2015-11-02,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,10,0.96,9.6,0
2015-11-03,CA_1,FOODS_3_252,Sparkling Water 12-Pack,21,1.58,33.18,0
2015-11-03,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,29,1.68,48.72,0
2015-11-03,CA_1,HOBBIES_1_048,Craft Paint Set,7,0.48,3.36,0
2015-11-03,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,22,0.36,7.92,1
2015-11-03,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,16,0.97,15.52,0
2015-11-03,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,7,0.97,6.79,0
2015-11-03,TX_2,FOODS_3_252,Sparkling Water 12-Pack,56,1.26,70.56,1
2015-11-03,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,76,1.68,127.68,0
2015-11-03,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,17,0.96,16.32,0
2015-11-03,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,21,0.96,20.16,0
2015-11-04,CA_1,FOODS_3_252,Sparkling Water 12-Pack,36,1.58,56.88,0
2015-11-04,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,28,1.68,47.04,0
2015-11-04,CA_1,HOBBIES_1_048,Craft Paint Set,13,0.48,6.24,0
2015-11-04,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,19,0.36,6.84,1
2015-11-04,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,9,0.97,8.73,0
2015-11-04,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,3,0.97,2.91,0
2015-11-04,TX_2,FOODS_3_252,Sparkling Water 12-Pack,46,1.26,57.96,1
2015-11-04,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,79,1.68,132.72,0
2015-11-04,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,12,0.96,11.52,0
2015-11-04,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,14,0.96,13.44,0
2015-11-05,CA_1,FOODS_3_252,Sparkling Water 12-Pack,73,1.58,115.34,0
2015-11-05,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,31,1.68,52.08,0
2015-11-05,CA_1,HOBBIES_1_048,Craft Paint Set,18,0.48,8.64,0
2015-11-05,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,65,0.36,23.4,1
2015-11-05,CA_1,HOUSEHOLD_1_334,Gift Wrap Assortment,8,0.97,7.76,0
2015-11-05,CA_1,HOUSEHOLD_1_447,Paper Towels 6-Roll,11,0.97,10.67,0
2015-11-05,TX_2,FOODS_3_252,Sparkling Water 12-Pack,74,1.26,93.24,1
2015-11-05,TX_2,FOODS_3_586,Frozen Lasagna Family Pack,95,1.68,159.6,0
2015-11-05,TX_2,HOUSEHOLD_1_334,Gift Wrap Assortment,10,0.96,9.6,0
2015-11-05,TX_2,HOUSEHOLD_1_447,Paper Towels 6-Roll,14,0.96,13.44,0
2015-11-06,CA_1,FOODS_3_252,Sparkling Water 12-Pack,36,1.58,56.88,0
2015-11-06,CA_1,FOODS_3_586,Frozen Lasagna Family Pack,41,1.68,68.88,0
2015-11-06,CA_1,HOBBIES_1_048,Craft Paint Set,20,0.48,9.6,0
2015-11-06,CA_1,HOBBIES_1_268,Puzzle 1000-Piece,3,0.36,1.08,1
